customer_id,signup_date,age_band,address,city,email,loyalty_tier_id
CUS0001,2024-07-04,18-25,09232 Caldwell Port,South Holly,gary91@example.org,1
CUS0002,2024-12-05,46+,049 Sanders Stravenue,North Brittany,curtisbarton@example.net,2
CUS0003,2024-03-14,18-25,058 Stanley Cliff,Alexanderchester,xgarcia@example.net,1
CUS0004,2024-10-12,26-35,262 Gilbert Plain Suite 769,Marcusbury,ramirezshannon@example.com,1
CUS0005,2024-02-20,36-45,0752 Lewis Union Suite 549,Angelahaven,christophercortez@example.com,2
CUS0006,2024-02-10,36-45,777 Christopher Forges,Holtport,thomas85@example.com,1
CUS0007,2024-12-28,46+,7444 David Fields Suite 182,East Joanna,jenny89@example.com,1
CUS0008,2024-12-16,18-25,3524 Jean Crossroad,Brandonton,heidi27@example.org,1
CUS0009,2024-09-29,36-45,7752 Johnny Wall Suite 116,Joneston,edwardhart@example.com,1
CUS0010,2023-03-04,18-25,86999 Kimberly Light,Kerrport,ntorres@example.org,1
CUS0011,2024-03-21,46+,34123 Andrea Estate,South Shannonfort,antonio44@example.net,1
CUS0012,2024-09-19,46+,349 Ronald Plains,Lake Edward,margaret10@example.org,1
CUS0013,2024-08-01,36-45,1746 Mason Park Suite 190,Navarroview,davissuzanne@example.net,3
CUS0014,2024-03-04,36-45,490 Thomas Run,Moonburgh,fwalters@example.org,2
CUS0015,2023-12-10,36-45,5125 Steele Heights Suite 807,West Johnnyville,ahancock@example.net,2
CUS0016,2024-09-26,18-25,0385 Garrett Trace Apt. 348,West Samuel,omartinez@example.net,1
CUS0017,2024-08-06,36-45,8086 Jeffrey Ville,South Staceyberg,scantu@example.net,2
CUS0018,2024-05-29,36-45,7378 Patrick Rapid Apt. 146,Sarahhaven,lori44@example.net,1
CUS0019,2024-02-28,26-35,78755 Gibson Islands Apt. 396,Port Kimberly,floresthomas@example.com,1
CUS0020,2023-10-09,46+,0289 Kane Well,Garciamouth,bowenrobert@example.net,2
CUS0021,2024-12-09,46+,4596 Melissa Walk,Finleyfort,williamsonjimmy@example.net,3
